Date,Scripture
2026-08-01,Isaiah 44:1-5
2026-08-02,Matthew 14:13-21
2026-08-03,"Psalm 78:1-8, 17-29"
2026-08-04,Acts 2:37-47
2026-08-05,"Exodus 16:2-15, 31-35"
2026-08-06,Psalm 85:8-13
2026-08-07,Acts 18:24-28
2026-08-08,1 Kings 18:41-46
2026-08-09,Matthew 14:22-33
2026-08-10,Psalm 18:1-19
2026-08-11,Romans 9:14-29
2026-08-12,Matthew 8:23-27
2026-08-13,Psalm 67
2026-08-14,Isaiah 63:15-19
2026-08-15,Luke 1:46-55
2026-08-16,Matthew 15:10-28
2026-08-17,Psalm 87
2026-08-18,Romans 11:13-29
2026-08-19,Matthew 8:1-13
2026-08-20,Psalm 138
2026-08-21,Ezekiel 31:15-18
2026-08-22,Ezekiel 36:33-38
2026-08-23,Matthew 16:13-20
2026-08-24,John 1:43-51
2026-08-25,"Psalm 18:1-3, 20-32"
2026-08-26,Isaiah 28:14-22
2026-08-27,Psalm 26:1-8
2026-08-28,2 Thessalonians 2:7-12
2026-08-29,Jeremiah 15:10-14
2026-08-30,Matthew 16:21-28
2026-08-31,Psalm 17
2026-09-01,Revelation 3:7-13
2026-09-02,Jeremiah 17:5-18
2026-09-03,Psalm 119:33-40
2026-09-04,Romans 10:15b-21
2026-09-05,Ezekiel 33:1-6
2026-09-06,Matthew 18:15-20
2026-09-07,Psalm 119:65-72
2026-09-08,Romans 13:1-7
2026-09-09,Matthew 21:18-22
2026-09-10,Psalm 103:1-13
2026-09-11,Genesis 41:53-42:17
2026-09-12,Matthew 6:7-15
2026-09-13,Matthew 18:21-35
2026-09-14,John 3:13-17
2026-09-15,Psalm 133
2026-09-16,Genesis 50:22-26
2026-09-17,Psalm 145:1-8
2026-09-18,2 Corinthians 13:5-10
2026-09-19,Zephaniah 2:13-15
2026-09-20,Matthew 20:1-16
2026-09-21,Matthew 9:9-13
2026-09-22,Psalm 106:1-12
2026-09-23,Matthew 18:1-5
2026-09-24,Psalm 25:1-9
2026-09-25,Acts 13:32-41
2026-09-26,Ezekiel 18:19-24
2026-09-27,Matthew 21:23-32
2026-09-28,Psalm 28
2026-09-29,Revelation 12:7-12
2026-09-30,Judges 16:23-31
2026-10-01,Psalm 80:7-15
2026-10-02,Philippians 2:14-18; 3:1-4a
2026-10-03,Jeremiah 6:1-10
2026-10-04,Matthew 21:33-46
2026-10-05,Psalm 144
2026-10-06,2 Corinthians 5:7-12
2026-10-07,John 11:45-57
2026-10-08,Psalm 23
2026-10-09,James 4:4-10
2026-10-10,Isaiah 24:17-23
2026-10-11,Matthew 22:1-14
2026-10-12,Psalm 34
2026-10-13,Amos 9:5-15
2026-10-14,John 6:25-35
2026-10-15,Psalm 96:1-13
2026-10-16,1 Peter 5:1-5
2026-10-17,Isaiah 14:3-11
2026-10-18,Matthew 22:15-22
2026-10-19,Luke 1:1-4; 24:44-53
2026-10-20,Psalm 98
2026-10-21,Matthew 17:22-27
2026-10-22,Psalm 1
2026-10-23,Titus 2:7-8. 11-15
2026-10-24,John 5:39-47
2026-10-25,Matthew 22:34-46
2026-10-26,Psalm 119:41-48
2026-10-27,James 2:14-26
2026-10-28,John 14:21-27
2026-10-29,Psalm 43
2026-10-30,2 Peter 2:1-3
2026-10-31,John 8:31-36
2026-11-01,Matthew 5:1-12
2026-11-02,Psalm 5
2026-11-03,Lamentation 2:13-17
2026-11-04,Proverbs 16:21-33
2026-11-05,Psalm 70
2026-11-06,Amos 3:1-12
2026-11-07,Matthew 24:1-14
2026-11-08,Matthew 25:1-13
2026-11-09,Psalm 63
2026-11-10,1 Thessalonians 3:6-13
2026-11-11,Matthew 24:29-35
2026-11-12,Psalm 90:1-12
2026-11-13,Ezekiel 7:1-9
2026-11-14,Matthew 12:43-45
2026-11-15,Matthew 25:14-30
2026-11-16,Psalm 9:1-14
2026-11-17,Zechariah 2:1-5; 5:1-4
2026-11-18,Matthew 24:45-51
2026-11-19,Psalm 95:1-7a
2026-11-20,Revelation 22:1-9
2026-11-21,Matthew 12:46-50
2026-11-22,Matthew 25:31-46
2026-11-23,Psalm 7
2026-11-24,Esther 8:3-17
2026-11-25,John 5:19-40
2026-11-26,"Psalm 80:1-7, 17-19"
2026-11-27,1 Thessalonians 4:1-18
2026-11-28,Micah 2:1-13
2026-11-29,Mark 13:24-37
2026-11-30,John 1:35-42
2026-12-01,Psalm 79
2026-12-02,Micah 5:1-5a
2026-12-03,"Psalm 85:1-2, 8-13"
2026-12-04,Jeremiah 1:4-10
2026-12-05,Ezekiel 36:24-28
2026-12-06,Mark 1:1-8
2026-12-07,Psalm 27
2026-12-08,Isaiah 4:2-6
2026-12-09,Luke 1:5-17
2026-12-10,Psalm 126
2026-12-11,Philippians 3:1-16
2026-12-12,Habakkuk 3:13-19
2026-12-13,"John 1:6-8, 19-28"
2026-12-14,Psalm 125
2026-12-15,Acts 3:17-4:4
2026-12-16,Mark 9:9-13
2026-12-17,"Psalm 89:1-4, 19-26"
2026-12-18,Hebrews 1:5-14
2026-12-19,John 7:40-52
2026-12-20,Luke 1:26-38
2026-12-21,Luke 1:46b-55
2026-12-22,Hebrews 8:1-13
2026-12-23,1 Samuel 2:1-10
2026-12-24,Luke 2:1-20
2026-12-25,John 1:1-14
2026-12-26,"Acts 6:8-7:2a, 51-60"
2026-12-27,Luke 2:22-40
2026-12-28,Matthew 2:13-18
2026-12-29,John 21:20-25
2026-12-30,2 Peter 3:8-13
2026-12-31,John 8:12-19
